ZCTA5,Final Type,,,,,,,,,
1841,Urbanized Area,,,,,,,,,
1843,Urbanized Area,,,,,,,,,
1844,Urbanized Area,,,,,,,,,
1845,Urbanized Area,,,,,,,,,
1850,Urbanized Area,,,,,,,,,
1851,Urbanized Area,,,,,,,,,
1852,Urbanized Area,,,,,,,,,
1854,Urbanized Area,,,,,,,,,
1860,Urbanized Area,,,,,,,,,
1862,Urbanized Area,,,,,,,,,
1863,Urbanized Area,,,,,,,,,
1864,Urbanized Area,,,,,,,,,
1867,Urbanized Area,,,,,,,,,
1876,Urbanized Area,,,,,,,,,
1879,Urbanized Area,,,,,,,,,
1880,Urbanized Area,,,,,,,,,
1886,Urbanized Area,,,,,,,,,
1887,Urbanized Area,,,,,,,,,
1890,Urbanized Area,,,,,,,,,
1901,Urbanized Area,,,,,,,,,
1902,Urbanized Area,,,,,,,,,
1904,Urbanized Area,,,,,,,,,
1905,Urbanized Area,,,,,,,,,
1906,Urbanized Area,,,,,,,,,
1907,Urbanized Area,,,,,,,,,
1908,Urbanized Area,,,,,,,,,
1913,Urbanized Area,,,,,,,,,
1915,Urbanized Area,,,,,,,,,
1921,Mixed,,,,,,,,,
1922,Mixed,,,,,,,,,
1923,Urbanized Area,,,,,,,,,
1929,Mixed,,,,,,,,,
1930,Urbanized Area,,,,,,,,,
1937,Urbanized Area,,,,,,,,,
1938,Mixed,,,,,,,,,
1940,Urbanized Area,,,,,,,,,
1944,Urbanized Area,,,,,,,,,
1945,Urbanized Area,,,,,,,,,
1949,Urbanized Area,,,,,,,,,
1950,Urbanized Area,,,,,,,,,
1951,Mixed,,,,,,,,,
1952,Urbanized Area,,,,,,,,,
1960,Urbanized Area,,,,,,,,,
1966,Urbanized Area,,,,,,,,,
1969,Urbanized Area,,,,,,,,,
1970,Urbanized Area,,,,,,,,,
1982,Urbanized Area,,,,,,,,,
1983,Urbanized Area,,,,,,,,,
1984,Urbanized Area,,,,,,,,,
1985,Mixed,,,,,,,,,
2019,Mixed,,,,,,,,,
2021,Urbanized Area,,,,,,,,,
2025,Urbanized Area,,,,,,,,,
2026,Urbanized Area,,,,,,,,,
2030,Mixed,,,,,,,,,
2032,Urbanized Area,,,,,,,,,
2035,Urbanized Area,,,,,,,,,
2038,Urbanized Area,,,,,,,,,
2043,Urbanized Area,,,,,,,,,
2045,Urbanized Area,,,,,,,,,
2047,Urbanized Area,,,,,,,,,
2048,Urbanized Area,,,,,,,,,
2050,Urbanized Area,,,,,,,,,
2052,Urbanized Area,,,,,,,,,
2053,Urbanized Area,,,,,,,,,
2054,Urbanized Area,,,,,,,,,
2056,Urbanized Area,,,,,,,,,
2061,Urbanized Area,,,,,,,,,
2062,Urbanized Area,,,,,,,,,
2066,Urbanized Area,,,,,,,,,
2067,Urbanized Area,,,,,,,,,
2071,Urbanized Area,,,,,,,,,
2072,Urbanized Area,,,,,,,,,
2081,Urbanized Area,,,,,,,,,
2090,Urbanized Area,,,,,,,,,
2093,Urbanized Area,,,,,,,,,
2108,Urbanized Area,,,,,,,,,
2109,Urbanized Area,,,,,,,,,
2110,Urbanized Area,,,,,,,,,
2111,Urbanized Area,,,,,,,,,
2113,Urbanized Area,,,,,,,,,
2114,Urbanized Area,,,,,,,,,
2115,Urbanized Area,,,,,,,,,
2116,Urbanized Area,,,,,,,,,
2118,Urbanized Area,,,,,,,,,
2119,Urbanized Area,,,,,,,,,
2120,Urbanized Area,,,,,,,,,
2121,Urbanized Area,,,,,,,,,
2122,Urbanized Area,,,,,,,,,
2124,Urbanized Area,,,,,,,,,
2125,Urbanized Area,,,,,,,,,
2126,Urbanized Area,,,,,,,,,
2127,Urbanized Area,,,,,,,,,
2128,Urbanized Area,,,,,,,,,
2129,Urbanized Area,,,,,,,,,
2130,Urbanized Area,,,,,,,,,
2131,Urbanized Area,,,,,,,,,
2132,Urbanized Area,,,,,,,,,
2134,Urbanized Area,,,,,,,,,
2135,Urbanized Area,,,,,,,,,
2136,Urbanized Area,,,,,,,,,
2138,Urbanized Area,,,,,,,,,
2139,Urbanized Area,,,,,,,,,
2140,Urbanized Area,,,,,,,,,
2141,Urbanized Area,,,,,,,,,
2142,Urbanized Area,,,,,,,,,
2143,Urbanized Area,,,,,,,,,
2144,Urbanized Area,,,,,,,,,
2145,Urbanized Area,,,,,,,,,
2148,Urbanized Area,,,,,,,,,
2149,Urbanized Area,,,,,,,,,
2150,Urbanized Area,,,,,,,,,
2151,Urbanized Area,,,,,,,,,
2152,Urbanized Area,,,,,,,,,
2155,Urbanized Area,,,,,,,,,
2163,Urbanized Area,,,,,,,,,
2169,Urbanized Area,,,,,,,,,
2170,Urbanized Area,,,,,,,,,
2171,Urbanized Area,,,,,,,,,
2176,Urbanized Area,,,,,,,,,
2180,Urbanized Area,,,,,,,,,
2184,Urbanized Area,,,,,,,,,
2186,Urbanized Area,,,,,,,,,
2188,Urbanized Area,,,,,,,,,
2189,Urbanized Area,,,,,,,,,
2190,Urbanized Area,,,,,,,,,
2191,Urbanized Area,,,,,,,,,
2199,Urbanized Area,,,,,,,,,
2203,Mixed,,,,,,,,,
2210,Urbanized Area,,,,,,,,,
2215,Urbanized Area,,,,,,,,,
2301,Urbanized Area,,,,,,,,,
2302,Urbanized Area,,,,,,,,,
2322,Urbanized Area,,,,,,,,,
2324,Urbanized Area,,,,,,,,,
2330,Mixed,,,,,,,,,
2332,Urbanized Area,,,,,,,,,
2333,Urbanized Area,,,,,,,,,
2338,Mixed,,,,,,,,,
2339,Urbanized Area,,,,,,,,,
2341,Urbanized Area,,,,,,,,,
2343,Urbanized Area,,,,,,,,,
2346,Mixed,,,,,,,,,
2347,Mixed,,,,,,,,,
2351,Urbanized Area,,,,,,,,,
2356,Urbanized Area,,,,,,,,,
2357,Urbanized Area,,,,,,,,,
2359,Urbanized Area,,,,,,,,,
2360,Mixed,,,,,,,,,
2364,Urbanized Area,,,,,,,,,
2366,Rural,,,,,,,,,
2367,Rural,,,,,,,,,
2368,Urbanized Area,,,,,,,,,
2370,Urbanized Area,,,,,,,,,
2375,Urbanized Area,,,,,,,,,
2379,Urbanized Area,,,,,,,,,
2382,Urbanized Area,,,,,,,,,
2420,Urbanized Area,,,,,,,,,
2421,Urbanized Area,,,,,,,,,
2445,Urbanized Area,,,,,,,,,
2446,Urbanized Area,,,,,,,,,
2451,Urbanized Area,,,,,,,,,
2452,Urbanized Area,,,,,,,,,
2453,Urbanized Area,,,,,,,,,
2457,Urbanized Area,,,,,,,,,
2458,Urbanized Area,,,,,,,,,
2459,Urbanized Area,,,,,,,,,
2460,Urbanized Area,,,,,,,,,
2461,Urbanized Area,,,,,,,,,
2462,Urbanized Area,,,,,,,,,
2464,Urbanized Area,,,,,,,,,
2465,Urbanized Area,,,,,,,,,
2466,Urbanized Area,,,,,,,,,
2467,Urbanized Area,,,,,,,,,
2468,Urbanized Area,,,,,,,,,
2472,Urbanized Area,,,,,,,,,
2474,Urbanized Area,,,,,,,,,
2476,Urbanized Area,,,,,,,,,
2478,Urbanized Area,,,,,,,,,
2481,Urbanized Area,,,,,,,,,
2482,Urbanized Area,,,,,,,,,
2492,Urbanized Area,,,,,,,,,
2493,Urbanized Area,,,,,,,,,
2494,Urbanized Area,,,,,,,,,
2532,Urbanized Area,,,,,,,,,
2534,Mixed,,,,,,,,,
2535,Rural,,,,,,,,,
2536,Urbanized Area,,,,,,,,,
2537,Urbanized Area,,,,,,,,,
2538,Urbanized Area,,,,,,,,,
2539,Mixed,,,,,,,,,
2540,Urbanized Area,,,,,,,,,
2542,Urbanized Area,,,,,,,,,
2543,Urbanized Area,,,,,,,,,
2553,Urbanized Area,,,,,,,,,
2554,Urban Cluster,,,,,,,,,
2556,Urbanized Area,,,,,,,,,
2557,Urban Cluster,,,,,,,,,
2558,Urbanized Area,,,,,,,,,
2559,Urbanized Area,,,,,,,,,
2561,Urbanized Area,,,,,,,,,
2562,Urbanized Area,,,,,,,,,
2563,Urbanized Area,,,,,,,,,
2564,Rural,,,,,,,,,
2568,Urban Cluster,,,,,,,,,
2571,Urbanized Area,,,,,,,,,
2575,Rural,,,,,,,,,
2576,Urbanized Area,,,,,,,,,
2584,Rural,,,,,,,,,
2601,Urbanized Area,,,,,,,,,
2630,Urbanized Area,,,,,,,,,
2631,Urbanized Area,,,,,,,,,
2632,Urbanized Area,,,,,,,,,
2633,Urbanized Area,,,,,,,,,
2635,Urbanized Area,,,,,,,,,
2637,Mixed,,,,,,,,,
2638,Urbanized Area,,,,,,,,,
2639,Urbanized Area,,,,,,,,,
2641,Mixed,,,,,,,,,
2642,Urbanized Area,,,,,,,,,
2643,Urbanized Area,,,,,,,,,
2644,Urbanized Area,,,,,,,,,
2645,Urbanized Area,,,,,,,,,
2646,Urbanized Area,,,,,,,,,
2647,Urbanized Area,,,,,,,,,
2648,Urbanized Area,,,,,,,,,
2649,Urbanized Area,,,,,,,,,
2650,Urbanized Area,,,,,,,,,
2651,Rural,,,,,,,,,
2652,Mixed,,,,,,,,,
2653,Urbanized Area,,,,,,,,,
2655,Urbanized Area,,,,,,,,,
2657,Urban Cluster,,,,,,,,,
2659,Urbanized Area,,,,,,,,,
2660,Urbanized Area,,,,,,,,,
2663,Mixed,,,,,,,,,
2664,Urbanized Area,,,,,,,,,
2666,Rural,,,,,,,,,
2667,Rural,,,,,,,,,
2668,Urbanized Area,,,,,,,,,
2669,Urbanized Area,,,,,,,,,
2670,Urbanized Area,,,,,,,,,
2671,Urbanized Area,,,,,,,,,
2672,Urbanized Area,,,,,,,,,
2673,Urbanized Area,,,,,,,,,
2675,Urbanized Area,,,,,,,,,
2702,Urbanized Area,,,,,,,,,
2703,Urbanized Area,,,,,,,,,
2713,Rural,,,,,,,,,
2715,Mixed,,,,,,,,,
2717,Mixed,,,,,,,,,
2718,Urbanized Area,,,,,,,,,
2719,Urbanized Area,,,,,,,,,
2720,Urbanized Area,,,,,,,,,
2721,Urbanized Area,,,,,,,,,
2723,Urbanized Area,,,,,,,,,
2724,Urbanized Area,,,,,,,,,
2725,Urbanized Area,,,,,,,,,
2726,Urbanized Area,,,,,,,,,
2738,Urbanized Area,,,,,,,,,
2739,Mixed,,,,,,,,,
2740,Urbanized Area,,,,,,,,,
2743,Mixed,,,,,,,,,
2744,Urbanized Area,,,,,,,,,
2745,Urbanized Area,,,,,,,,,
2746,Urbanized Area,,,,,,,,,
2747,Mixed,,,,,,,,,
2748,Urbanized Area,,,,,,,,,
2760,Urbanized Area,,,,,,,,,
2762,Urbanized Area,,,,,,,,,
2763,Urbanized Area,,,,,,,,,
2764,Mixed,,,,,,,,,
2766,Mixed,,,,,,,,,
2767,Urbanized Area,,,,,,,,,
2769,Rural,,,,,,,,,
