Zipcode,State,Land Area (sq mi),Center Point Lat,Center Point Lng
01542,MA,4.026,42.204251,-71.908907
01543,MA,35.104,42.388284999999996,-71.969865
01545,MA,20.739,42.284766999999995,-71.714228
01550,MA,20.28,42.059737,-72.033908
01560,MA,3.5669999999999997,42.175395,-71.674223
01561,MA,0.12300000000000001,42.44397,-71.685583
01562,MA,32.832,42.247211,-71.991867
01564,MA,30.638,42.447924,-71.776045
01566,MA,28.351999999999997,42.103214,-72.079545
01568,MA,21.44,42.176526,-71.603588
01569,MA,29.08,42.05593,-71.631232
01570,MA,12.38,42.047532000000004,-71.846952
01571,MA,20.816999999999997,42.053778,-71.935075
01581,MA,20.584,42.268426,-71.613309
01583,MA,12.615,42.369417,-71.785036
01585,MA,25.55,42.240796,-72.162645
01588,MA,8.613,42.118794,-71.672494
01590,MA,32.009,42.132051000000004,-71.75031800000001
01602,MA,5.767,42.269189000000004,-71.850728
01603,MA,4.513999999999999,42.243826,-71.84356899999999
01604,MA,6.439,42.253254,-71.767957
01605,MA,5.642,42.289683000000004,-71.78779300000001
01606,MA,5.93,42.315249,-71.795741
01607,MA,3.1660000000000004,42.225974,-71.788894
01608,MA,0.44799999999999995,42.26198,-71.801462
01609,MA,3.82,42.285114,-71.829987
01610,MA,2.126,42.247049,-71.808366
01611,MA,3.4419999999999997,42.237604,-71.875838
01612,MA,15.315,42.296797999999995,-71.928991
01701,MA,16.959,42.319587,-71.4428
01702,MA,8.092,42.282379,-71.436621
01718,MA,0.047,42.519816,-71.429283
01719,MA,10.286,42.485985,-71.520985
01720,MA,19.713,42.483953,-71.43849499999999
01721,MA,12.33,42.257754999999996,-71.473526
01730,MA,13.698,42.499295000000004,-71.281889
01731,MA,0.7909999999999999,42.456748,-71.279484
01740,MA,19.952,42.439941,-71.601879
01741,MA,15.265,42.53662,-71.36183199999999
01742,MA,24.445999999999998,42.462911,-71.364496
01745,MA,0.39899999999999997,42.292114,-71.499197
01746,MA,18.645,42.195951,-71.45343000000001
01747,MA,5.171,42.123007,-71.53140400000001
01748,MA,26.261,42.224096,-71.54048900000001
01749,MA,11.522,42.389071,-71.545864
01752,MA,20.866,42.349616999999995,-71.547214
01754,MA,5.212999999999999,42.425955,-71.45625600000001
01756,MA,17.774,42.09387,-71.544519
01757,MA,14.88,42.158691999999995,-71.521419
01760,MA,14.811,42.284822,-71.348811
