Zipcode,Population,Pop_W,Pop_B,Pop_A,Pop_H,Median Age,State,Land Area (sq mi),Center Point Lat,Center Point Lng,Pop Density
01033,6304.0,6252.0,0.0,0.0,336.0,44.3,MA,27.826,42.244949,-72.50014300000002,226.5507079709624
01034,2190.0,2131.0,6.0,9.0,41.0,46.7,MA,71.597,42.098676,-72.961564,30.587873793594706
01035,5324.0,5076.0,51.0,111.0,232.0,46.0,MA,23.086,42.356491,-72.568632,230.6159577232955
01036,5179.0,5133.0,6.0,22.0,64.0,49.1,MA,19.513,42.062946,-72.41729699999998,265.41280172192893
01037,731.0,666.0,11.0,0.0,77.0,52.4,MA,14.111,42.372728,-72.195412,51.80355750832683
01038,2794.0,2686.0,25.0,54.0,0.0,49.8,MA,9.998,42.385496,-72.60692900000002,279.4558911782357
01039,1236.0,1212.0,6.0,5.0,34.0,53.8,MA,13.207,42.40427800000001,-72.68892199999998,93.58673430756417
01040,40342.0,33101.0,1827.0,618.0,19964.0,35.4,MA,21.281,42.211656,-72.642448,1895.6815939100607
01050,2513.0,2363.0,89.0,0.0,114.0,43.0,MA,38.329,42.286762,-72.869695,65.56393331420074
01053,1772.0,1625.0,62.0,12.0,142.0,51.3,MA,5.131,42.356301,-72.713584,345.35178327811343
01054,1993.0,1857.0,56.0,38.0,52.0,49.8,MA,22.807,42.468898,-72.48457900000002,87.38545183496295
01056,21348.0,20024.0,300.0,212.0,1306.0,44.7,MA,27.205,42.183577,-72.457812,784.7086932549164
01057,8712.0,8475.0,0.0,33.0,110.0,46.0,MA,44.908,42.09359600000001,-72.321494,193.996615302396
01060,15229.0,13055.0,519.0,1019.0,1301.0,34.8,MA,10.92,42.321488,-72.630588,1394.5970695970695
01062,11029.0,9830.0,185.0,575.0,983.0,44.1,MA,18.154,42.328308,-72.703924,607.5245125041313
01063,572.0,414.0,20.0,87.0,75.0,20.3,MA,0.039,42.318882,-72.63853,14666.666666666666
01066,10.0,10.0,0.0,0.0,0.0,,MA,0.71,42.406903,-72.655018,14.084507042253522
01068,1803.0,1778.0,2.0,5.0,32.0,44.7,MA,20.82,42.350862,-72.044248,86.59942363112391
01069,8976.0,8849.0,67.0,16.0,88.0,43.8,MA,28.065,42.187794,-72.30846899999997,319.8289684660609
01070,565.0,526.0,3.0,9.0,5.0,52.2,MA,20.541,42.518446,-72.91901700000003,27.505963682391315
01071,1318.0,1268.0,8.0,6.0,14.0,47.5,MA,15.579,42.16006,-72.873853,84.60106553694075
01072,1465.0,1415.0,7.0,0.0,66.0,47.2,MA,20.086,42.456968,-72.417244,72.93637359354776
01073,6022.0,5810.0,67.0,34.0,21.0,45.9,MA,28.152,42.226949,-72.74158800000002,213.91020176186416
01074,247.0,247.0,0.0,0.0,0.0,33.5,MA,0.085,42.38760300000001,-72.09323,2905.882352941176
01075,17781.0,15912.0,720.0,587.0,893.0,40.9,MA,17.718,42.256208,-72.58103,1003.5557060616322
01077,9640.0,9265.0,0.0,186.0,35.0,44.6,MA,30.821,42.05257,-72.777353,312.7737581519094
01079,593.0,593.0,0.0,0.0,41.0,43.4,MA,1.128,42.197913,-72.329709,525.7092198581561
01080,2286.0,2176.0,0.0,0.0,193.0,38.4,MA,1.727,42.185727,-72.361558,1323.6826867400116
01081,1720.0,1688.0,8.0,0.0,28.0,44.1,MA,14.497,42.061313,-72.234411,118.64523694557495
01082,10460.0,10047.0,22.0,41.0,209.0,43.1,MA,46.105,42.293533,-72.278599,226.87344105845355
01083,2960.0,2947.0,0.0,0.0,43.0,37.0,MA,15.78,42.203642,-72.194599,187.5792141951838
01084,155.0,155.0,0.0,0.0,4.0,59.4,MA,9.197,42.39237,-72.882235,16.853321735348484
01085,41509.0,37595.0,778.0,985.0,3292.0,38.3,MA,59.882,42.153503,-72.771602,693.1799205103371
01086,685.0,614.0,63.0,0.0,33.0,19.4,MA,0.037000000000000005,42.130446,-72.79396700000002,18513.51351351351
01088,493.0,450.0,43.0,0.0,63.0,50.9,MA,5.2,42.39170900000001,-72.64649399999998,94.8076923076923
01089,28600.0,24378.0,1097.0,1264.0,2857.0,39.2,MA,16.713,42.125451,-72.649734,1711.2427451684316
01092,1291.0,1289.0,2.0,0.0,0.0,40.7,MA,6.7029999999999985,42.191868,-72.235108,192.60032821124875
01093,307.0,304.0,0.0,0.0,0.0,52.3,MA,5.044,42.441943,-72.661817,60.86439333862015
01094,336.0,336.0,0.0,0.0,6.0,53.8,MA,1.136,42.359108,-72.1368,295.77464788732397
01095,14514.0,13621.0,451.0,233.0,442.0,48.0,MA,22.614,42.138499,-72.420715,641.8148049880605
01096,2494.0,2442.0,5.0,9.0,32.0,44.7,MA,31.683000000000003,42.39714,-72.763572,78.71729318562004
01097,31.0,31.0,0.0,0.0,0.0,43.2,MA,1.709,42.178038,-72.832612,18.13926272674078
