,Zipcode,Population,Edu_None,Edu_Ass,Edu_GED,Edu_HS,Edu_Bach,Edu_Mast,Edu_Prof,Edu_Doct
5340,17239,216.0,3.0,11.0,7.0,85.0,9.0,13.0,0.0,0.0
5341,17240,3589.0,2.0,148.0,109.0,1010.0,185.0,105.0,0.0,18.0
5342,17241,11423.0,105.0,480.0,543.0,3508.0,707.0,294.0,70.0,56.0
5343,17243,1730.0,2.0,52.0,50.0,505.0,68.0,17.0,13.0,3.0
5344,17244,2380.0,30.0,112.0,62.0,673.0,132.0,54.0,0.0,16.0
5345,17246,157.0,0.0,7.0,15.0,68.0,0.0,0.0,0.0,0.0
5346,17247,450.0,0.0,0.0,30.0,63.0,29.0,100.0,0.0,28.0
5347,17249,344.0,2.0,14.0,15.0,126.0,18.0,4.0,0.0,0.0
5348,17250,138.0,0.0,0.0,32.0,34.0,0.0,0.0,0.0,0.0
5349,17251,199.0,0.0,3.0,11.0,50.0,17.0,10.0,0.0,3.0
5350,17252,3547.0,51.0,111.0,140.0,1005.0,261.0,129.0,14.0,19.0
5351,17253,290.0,0.0,6.0,8.0,110.0,18.0,7.0,0.0,0.0
5352,17254,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5353,17255,1052.0,10.0,52.0,31.0,402.0,38.0,26.0,0.0,0.0
5354,17256,120.0,0.0,0.0,18.0,20.0,0.0,17.0,17.0,0.0
5355,17257,29359.0,187.0,1136.0,934.0,6608.0,1933.0,756.0,110.0,191.0
5356,17260,1263.0,11.0,60.0,72.0,439.0,43.0,6.0,0.0,0.0
5357,17261,257.0,0.0,10.0,16.0,46.0,0.0,3.0,0.0,0.0
5358,17262,1595.0,10.0,104.0,44.0,373.0,53.0,40.0,0.0,8.0
5359,17263,452.0,0.0,55.0,0.0,181.0,12.0,14.0,0.0,0.0
5360,17264,2180.0,18.0,114.0,72.0,917.0,89.0,48.0,6.0,2.0
5361,17265,627.0,0.0,4.0,12.0,188.0,33.0,9.0,4.0,0.0
5362,17266,517.0,3.0,32.0,25.0,162.0,24.0,12.0,3.0,0.0
5363,17267,2683.0,36.0,112.0,59.0,853.0,169.0,97.0,2.0,11.0
5364,17268,28685.0,124.0,1586.0,1207.0,7467.0,2507.0,1354.0,66.0,92.0
5365,17270,184.0,0.0,22.0,0.0,73.0,0.0,28.0,0.0,0.0
5366,17271,270.0,7.0,3.0,11.0,71.0,26.0,0.0,0.0,0.0
5367,17272,342.0,0.0,34.0,0.0,73.0,14.0,13.0,0.0,0.0
5368,17301,3881.0,28.0,169.0,126.0,1265.0,141.0,137.0,22.0,6.0
5369,17302,2906.0,7.0,238.0,117.0,864.0,137.0,66.0,10.0,0.0
5370,17304,3021.0,21.0,140.0,133.0,775.0,233.0,68.0,32.0,39.0
5371,17306,378.0,0.0,10.0,12.0,118.0,15.0,5.0,0.0,0.0
5372,17307,5955.0,42.0,261.0,208.0,1742.0,456.0,225.0,32.0,55.0
5373,17309,1972.0,32.0,57.0,79.0,710.0,159.0,46.0,0.0,37.0
5374,17311,227.0,0.0,14.0,17.0,55.0,26.0,7.0,0.0,0.0
