Zipcode,Land Area (sq mi),Center Point Lat,Center Point Lng
2648,9.277,41.670946,-70.41537
2649,23.247,41.616801,-70.490097
2650,1.446,41.701947,-69.961375
2651,0.07,41.874985,-70.003492
2652,7.998,42.049537,-70.094991
2653,12.041,41.769125,-69.97358
2655,6.529,41.627984,-70.392013
2657,9.671,42.059829,-70.200407
2659,2.046,41.681465,-70.023537
2660,7.708,41.707699,-70.15856
2663,1.413,41.894444,-70.01218
2664,6.936,41.674727,-70.195648
2666,12.717,41.99078,-70.045714
2667,18.629,41.921997,-70.023356
2668,15.076,41.716216,-70.36307
2669,0.895,41.666693,-69.989716
2670,2.088,41.660113,-70.170678
2671,2.014,41.670839,-70.1134
2672,0.494,41.6357,-70.313634
2673,9.988,41.655712,-70.247044
2675,9.03,41.704155,-70.231801
2702,16.794,41.785113,-71.059047
2703,26.816,41.931653,-71.294503
2713,5.056,41.441295,-70.902217
2715,11.453,41.803649,-71.15338
2717,17.68,41.760108,-70.972874
2718,10.345,41.862486,-71.01169
2719,12.335,41.633619,-70.871306
2720,10.871,41.72505,-71.121329
2721,4.093,41.675125,-71.148281
2723,1.597,41.692705,-71.129726
2724,1.858,41.683936,-71.1775
2725,2.373,41.720043,-71.188272
2726,5.527,41.7597,-71.144592
2738,13.998,41.704138,-70.752225
2739,17.351,41.665794,-70.814531
2740,5.685,41.637485,-70.938265
2743,18.429,41.718217,-70.901151
2744,1.291,41.606252,-70.913632
2745,10.328,41.700737,-70.950546
2746,2.116,41.660995,-70.940137
2747,48.804,41.664711,-71.015699
2748,22.49,41.553084,-70.971453
2760,17.972,41.972509,-71.334397
2762,10.997,42.012797,-71.336578
2763,0.902,41.966866,-71.308574
2764,10.594,41.851929,-71.153598
2766,27.812,41.965341,-71.18178
2767,23.809,41.940996,-71.048499
2769,46.938,41.846878,-71.24487
2770,32.175,41.759846,-70.838449
2771,18.372,41.842106,-71.322309
2777,22.673,41.758163,-71.214181
2779,16.513,41.838061,-71.077615
2780,33.037,41.909112,-71.118346
2790,53.714,41.599176,-71.082371
2791,1.054,41.528538,-71.078091
2802,0.196,41.95213,-71.456233
2804,10.098,41.434772,-71.769527
2806,8.215,41.734753,-71.319732
2807,9.082,41.176815,-71.577085
2808,7.963,41.408251,-71.749674
2809,9.815,41.67573,-71.273331
2812,6.64,41.478948,-71.652334
2813,36.462,41.394216,-71.669822
2814,44.769,41.895948,-71.700406
2815,4.172,41.77463,-71.647954
2816,37.854,41.696499,-71.622662
2817,50.26,41.637083,-71.678361
2818,21.818,41.642919,-71.485719
2822,55.9,41.57021,-71.626993
2825,54.043,41.782067,-71.726833
2826,2.498,41.982746,-71.653144
2827,21.079,41.698748,-71.739118
2828,4.829,41.879928,-71.563999
2830,19.388,41.97493,-71.651187
2831,9.62,41.774762,-71.620289
2832,22.305,41.514717,-71.729622
2833,7.065,41.49514,-71.769633
2835,9.448,41.510088,-71.378366
2836,0.307,41.454681,-71.620208
2837,20.522,41.518769,-71.167247
2838,1.43,41.965257,-71.476374
2839,4.327,41.940757,-71.641513
2840,7.231,41.478216,-71.322375
2841,0.467,41.511864,-71.332175
2842,12.693,41.518673,-71.281685
2852,30.887,41.588565,-71.459811
2857,41.745,41.822761,-71.633605
2858,0.578,41.964461,-71.651336
2859,28.365,41.959073,-71.757323
2860,5.398,41.870562,-71.388681
2861,3.564,41.878603,-71.353131
2863,1.201,41.890064,-71.393481
2864,26.381,41.966913,-71.428933
2865,16.691,41.915455,-71.449815
