,Zipcode,Center Point Lat,Center Point Lng,ID,Gmaps Lat,Gmaps Lon
27765,79853,31.434058,-106.06323799999998,0.0,31.4320132,-106.0757749
27766,79854,30.59127,-104.660157,0.0,30.5074562,-104.7520939
27767,79855,31.09348,-104.624514,1.0,31.2688359,-104.3791912
27768,79901,31.760618,-106.478578,0.0,31.7597373,-106.4788714
27769,79902,31.783715,-106.498544,9.0,31.793786,-106.493598
27770,79903,31.786182,-106.441937,0.0,31.786568,-106.4435319
27771,79904,31.852764,-106.44763600000002,0.0,31.8680951,-106.4759262
27772,79905,31.766054,-106.426202,2.0,31.7699019,-106.4229199
27773,79906,31.810651,-106.404743,0.0,31.8078487,-106.4081983
27774,79907,31.707231,-106.326563,0.0,31.7094648,-106.3346061
27775,79908,31.857197,-106.380384,0.0,31.8232205,-106.3861179
27776,79911,31.892461,-106.54256399999998,0.0,31.8871475,-106.5407299
27777,79912,31.848583,-106.534316,0.0,31.8586994,-106.5466221
27778,79915,31.746041,-106.371426,0.0,31.7428594,-106.3758145
27779,79916,31.813968,-106.418136,0.0,31.818148,-106.4140868
27780,79920,31.824725,-106.451727,0.0,31.8136904,-106.4441215
27781,79922,31.814909000000004,-106.56123999999998,0.0,31.8271036,-106.5760857
27782,79924,31.902442,-106.413245,0.0,31.8964712,-106.4288088
27783,79925,31.79695,-106.35688,1.0,31.79505109999999,-106.3581527
27784,79927,31.640206,-106.268949,0.0,31.6395026,-106.2757514
27785,79928,31.631426,-106.160065,0.0,31.65783,-106.1345705
27786,79930,31.829304,-106.483334,1.0,31.8079829,-106.470036
27787,79932,31.874971,-106.607981,0.0,31.89351,-106.6173415
27788,79934,31.95067,-106.433518,0.0,31.9754756,-106.4170311
27789,79935,31.76771500000001,-106.329332,0.0,31.7601272,-106.3287199
27790,79936,31.776593,-106.296976,2.0,31.7599791,-106.287521
27791,79938,31.829712,-105.971362,1.0,31.8403844,-105.92299
27792,79942,30.575618,-101.331239,0.0,30.5716274,-101.3317605
27793,80002,39.794822,-105.105292,0.0,39.7907566,-105.0849687
27794,80003,39.825373,-105.063525,0.0,39.8182494,-105.0674317
27795,80004,39.817202,-105.123954,0.0,39.8163023,-105.1200482
27796,80005,39.85165,-105.131418,0.0,39.854992,-105.1317431
27797,80007,39.866893,-105.190278,0.0,39.8514427,-105.1960795
27798,80010,39.739249,-104.862881,0.0,39.7393313,-104.8629746
27799,80011,39.738764,-104.782159,2.0,39.7542465,-104.7871004
27800,80012,39.699741,-104.837634,1.0,39.7020217,-104.8396248
27801,80013,39.661404,-104.765664,0.0,39.6563415,-104.7637619
27802,80014,39.663559,-104.838066,0.0,39.6631609,-104.8279512
27803,80015,39.62732000000001,-104.779035,0.0,39.6288155,-104.7812654
27804,80016,39.599468,-104.707569,0.0,39.5815071,-104.7170954
27805,80017,39.69792800000001,-104.78546,0.0,39.69370869999999,-104.7871004
27806,80018,39.688002,-104.68974,0.0,39.70577710000001,-104.6937674
27807,80019,39.786982,-104.70217,0.0,39.7864873,-104.6937674
27808,80020,39.930782,-105.074287,0.0,39.93891989999999,-105.0674317
27809,80021,39.890663,-105.113724,0.0,39.892517,-105.1142011
27810,80022,39.879646,-104.798722,0.0,39.866593,-104.7754307
27811,80023,39.975858,-105.00938700000002,1.0,39.9651949,-105.0206757
27812,80024,39.843876,-104.917925,0.0,39.84,-104.91
27813,80025,39.939848,-105.283942,0.0,39.9320235,-105.2778154
